Numero de onda	hidroxietil_teraftalato.dpt
3403.15029	0.82178
3401.09649	0.82232
3399.04269	0.82259
3396.98889	0.82314
3394.93508	0.82375
3392.88128	0.82397
3390.82748	0.8236
3388.77368	0.82297
3386.71988	0.8226
3384.66607	0.82241
3382.61227	0.82195
3380.55847	0.82079
3378.50467	0.81935
3376.45086	0.81827
3374.39706	0.81711
3372.34326	0.81566
3370.28946	0.81424
3368.23566	0.81279
3366.18185	0.81135
3364.12805	0.8101
3362.07425	0.8087
3360.02045	0.80667
3357.96664	0.80415
3355.91284	0.80137
3353.85904	0.79844
3351.80524	0.7958
3349.75144	0.79376
3347.69763	0.79156
3345.64383	0.78867
3343.59003	0.78554
3341.53623	0.78247
3339.48242	0.77959
3337.42862	0.77678
3335.37482	0.77356
3333.32102	0.76997
3331.26722	0.7665
3329.21341	0.7635
3327.15961	0.76088
3325.10581	0.75825
3323.05201	0.75561
3320.9982	0.75288
3318.9444	0.75012
3316.8906	0.74786
3314.8368	0.74603
3312.783	0.74394
3310.72919	0.74139
3308.67539	0.73891
3306.62159	0.73666
3304.56779	0.73437
3302.51398	0.73189
3300.46018	0.72964
3298.40638	0.72775
3296.35258	0.7261
3294.29878	0.72494
3292.24497	0.72407
3290.19117	0.72309
3288.13737	0.72199
3286.08357	0.72154
3284.02976	0.72223
3281.97596	0.72316
3279.92216	0.72383
3277.86836	0.7245
3275.81456	0.72532
3273.76075	0.72632
3271.70695	0.72726
3269.65315	0.72819
3267.59935	0.7295
3265.54554	0.73084
3263.49174	0.73169
3261.43794	0.73242
3259.38414	0.73348
3257.33034	0.73492
3255.27653	0.73633
3253.22273	0.73722
3251.16893	0.73782
3249.11513	0.73858
3247.06132	0.73955
3245.00752	0.74081
3242.95372	0.74195
3240.89992	0.7428
3238.84611	0.74384
3236.79231	0.74515
3234.73851	0.74665
3232.68471	0.74872
3230.63091	0.75117
3228.5771	0.75344
3226.5233	0.7557
3224.4695	0.75824
3222.4157	0.76084
3220.36189	0.76359
3218.30809	0.76682
3216.25429	0.77051
3214.20049	0.7743
3212.14669	0.77796
3210.09288	0.78162
3208.03908	0.78558
3205.98528	0.78978
