Numero de onda	polvinilpirrolidona.dpt
3403.15029	0.93404
3401.09649	0.93393
3399.04269	0.93389
3396.98889	0.93411
3394.93508	0.93418
3392.88128	0.93374
3390.82748	0.93344
3388.77368	0.93374
3386.71988	0.93428
3384.66607	0.9347
3382.61227	0.93512
3380.55847	0.9352
3378.50467	0.93462
3376.45086	0.93418
3374.39706	0.9344
3372.34326	0.93486
3370.28946	0.93513
3368.23566	0.93511
3366.18185	0.93513
3364.12805	0.93544
3362.07425	0.9355
3360.02045	0.93505
3357.96664	0.93476
3355.91284	0.93476
3353.85904	0.93484
3351.80524	0.93491
3349.75144	0.93481
3347.69763	0.93458
3345.64383	0.93464
3343.59003	0.93516
3341.53623	0.93552
3339.48242	0.93507
3337.42862	0.93436
3335.37482	0.93431
3333.32102	0.93477
3331.26722	0.93519
3329.21341	0.93511
3327.15961	0.93438
3325.10581	0.93377
3323.05201	0.93373
3320.9982	0.93379
3318.9444	0.93404
3316.8906	0.93463
3314.8368	0.93515
3312.783	0.93538
3310.72919	0.93528
3308.67539	0.93475
3306.62159	0.934
3304.56779	0.93358
3302.51398	0.93354
3300.46018	0.93359
3298.40638	0.93382
3296.35258	0.93422
3294.29878	0.93415
3292.24497	0.93353
3290.19117	0.933
3288.13737	0.93258
3286.08357	0.93255
3284.02976	0.93312
3281.97596	0.93332
3279.92216	0.93307
3277.86836	0.93306
3275.81456	0.93324
3273.76075	0.9334
3271.70695	0.93349
3269.65315	0.93355
3267.59935	0.93367
3265.54554	0.93379
3263.49174	0.93406
3261.43794	0.93438
3259.38414	0.93434
3257.33034	0.93418
3255.27653	0.93411
3253.22273	0.93397
3251.16893	0.93389
3249.11513	0.93391
3247.06132	0.93405
3245.00752	0.93451
3242.95372	0.93513
3240.89992	0.93536
3238.84611	0.93525
3236.79231	0.93503
3234.73851	0.93477
3232.68471	0.93489
3230.63091	0.93535
3228.5771	0.93583
3226.5233	0.93601
3224.4695	0.93586
3222.4157	0.93579
3220.36189	0.93589
3218.30809	0.93618
3216.25429	0.93642
3214.20049	0.9366
3212.14669	0.93705
3210.09288	0.93765
3208.03908	0.93822
3205.98528	0.93881
3203.93148	0.939
3201.87767	0.93891
3199.82387	0.93908
3197.77007	0.93946
3195.71627	0.94002
3193.66247	0.94053
3191.60866	0.94083
3189.55486	0.94142
3187.50106	0.9418
3185.44726	0.94126
3183.39345	0.94074
3181.33965	0.94127
3179.28585	0.9423
3177.23205	0.94284
3175.17825	0.94305
3173.12444	0.94335
3171.07064	0.94338
3169.01684	0.94328
3166.96304	0.94346
3164.90923	0.94379
3162.85543	0.94411
3160.80163	0.94424
3158.74783	0.94417
3156.69403	0.94453
3154.64022	0.94534
3152.58642	0.94583
3150.53262	0.94576
3148.47882	0.94546
3146.42501	0.94513
3144.37121	0.94504
3142.31741	0.94542
3140.26361	0.94585
3138.20981	0.94597
3136.156	0.946
3134.1022	0.9461
3132.0484	0.9461
3129.9946	0.94624
3127.94079	0.94678
3125.88699	0.94715
3123.83319	0.9474
3121.77939	0.94778
3119.72559	0.94774
3117.67178	0.94732
3115.61798	0.94705
3113.56418	0.94701
3111.51038	0.94732
3109.45657	0.94771
3107.40277	0.94776
3105.34897	0.94804
3103.29517	0.94857
3101.24137	0.94859
3099.18756	0.94831
3097.13376	0.94819
3095.07996	0.94838
3093.02616	0.94875
3090.97235	0.94916
3088.91855	0.94939
3086.86475	0.94915
3084.81095	0.94905
3082.75715	0.94929
3080.70334	0.94934
3078.64954	0.94923
3076.59574	0.94934
3074.54194	0.94967
3072.48813	0.94988
3070.43433	0.95013
3068.38053	0.95045
3066.32673	0.9502
3064.27293	0.94961
3062.21912	0.94945
3060.16532	0.9497
3058.11152	0.95015
3056.05772	0.95057
3054.00391	0.9506
3051.95011	0.95062
3049.89631	0.95102
3047.84251	0.95132
3045.78871	0.95112
3043.7349	0.95072
3041.6811	0.95051
3039.6273	0.95073
3037.5735	0.9512
3035.51969	0.9514
3033.46589	0.95119
3031.41209	0.95113
3029.35829	0.9514
3027.30449	0.95158
3025.25068	0.95139
3023.19688	0.95096
3021.14308	0.95068
3019.08928	0.95047
3017.03547	0.95025
3014.98167	0.95017
3012.92787	0.94984
3010.87407	0.94892
3008.82027	0.94779
3006.76646	0.94703
3004.71266	0.94652
3002.65886	0.94568
3000.60506	0.94434
2998.55125	0.94279
2996.49745	0.94116
2994.44365	0.9389
2992.38985	0.93606
2990.33605	0.93377
2988.28224	0.93207
2986.22844	0.93025
2984.17464	0.92819
2982.12084	0.92599
2980.06703	0.92411
2978.01323	0.92273
2975.95943	0.92111
2973.90563	0.91926
2971.85183	0.91801
2969.79802	0.91705
2967.74422	0.91557
2965.69042	0.91365
2963.63662	0.91187
2961.58281	0.91043
2959.52901	0.90914
2957.47521	0.90768
2955.42141	0.90605
2953.36761	0.90488
2951.3138	0.90439
2949.26	0.90398
2947.2062	0.9036
2945.1524	0.90391
2943.09859	0.90475
2941.04479	0.90542
2938.99099	0.90595
2936.93719	0.90639
2934.88339	0.90654
2932.82958	0.90663
2930.77578	0.90682
2928.72198	0.90671
2926.66818	0.90614
2924.61437	0.90566
2922.56057	0.90522
2920.50677	0.90468
2918.45297	0.90479
2916.39917	0.9057
2914.34536	0.90686
2912.29156	0.90807
2910.23776	0.90914
2908.18396	0.91005
2906.13015	0.91095
2904.07635	0.9115
2902.02255	0.91158
2899.96875	0.91146
2897.91494	0.91117
2895.86114	0.91081
2893.80734	0.91043
2891.75354	0.91009
2889.69974	0.90984
2887.64593	0.90954
2885.59213	0.90917
2883.53833	0.90895
2881.48453	0.90897
2879.43072	0.90915
2877.37692	0.90945
2875.32312	0.90981
2873.26932	0.91011
2871.21552	0.91043
2869.16171	0.91078
2867.10791	0.91132
2865.05411	0.91213
2863.00031	0.9128
2860.9465	0.91324
2858.8927	0.91397
2856.8389	0.91535
2854.7851	0.91717
2852.7313	0.91887
2850.67749	0.92027
2848.62369	0.9215
2846.56989	0.92265
2844.51609	0.92403
2842.46228	0.92569
2840.40848	0.92709
2838.35468	0.92815
2836.30088	0.92922
2834.24708	0.93035
2832.19327	0.9313
2830.13947	0.93205
2828.08567	0.93291
2826.03187	0.93394
2823.97806	0.93503
2821.92426	0.93616
2819.87046	0.937
2817.81666	0.93769
2815.76286	0.93845
2813.70905	0.93907
2811.65525	0.93965
2809.60145	0.94022
2807.54765	0.94069
2805.49384	0.94109
2803.44004	0.94138
2801.38624	0.94146
2799.33244	0.94141
2797.27864	0.94156
2795.22483	0.94194
2793.17103	0.94237
2791.11723	0.94275
2789.06343	0.94292
2787.00962	0.94298
2784.95582	0.9431
2782.90202	0.94337
2780.84822	0.94373
2778.79442	0.94377
2776.74061	0.9436
2774.68681	0.9436
2772.63301	0.94372
2770.57921	0.94403
2768.5254	0.9445
2766.4716	0.94474
2764.4178	0.94493
2762.364	0.94536
2760.3102	0.9456
2758.25639	0.9456
2756.20259	0.94579
2754.14879	0.94618
2752.09499	0.94637
2750.04118	0.94623
2747.98738	0.94606
2745.93358	0.94603
2743.87978	0.94612
2741.82598	0.94596
2739.77217	0.94583
2737.71837	0.94615
2735.66457	0.94648
2733.61077	0.94672
2731.55696	0.94709
2729.50316	0.94731
2727.44936	0.94742
2725.39556	0.94755
2723.34176	0.94751
2721.28795	0.94756
2719.23415	0.94762
2717.18035	0.94748
2715.12655	0.9473
2713.07274	0.94705
2711.01894	0.94686
2708.96514	0.94701
2706.91134	0.94746
2704.85754	0.94797
2702.80373	0.94821
2700.74993	0.94822
2698.69613	0.94831
2696.64233	0.9483
2694.58852	0.94814
2692.53472	0.9482
2690.48092	0.94861
2688.42712	0.94903
2686.37332	0.94906
2684.31951	0.94873
2682.26571	0.94838
2680.21191	0.9483
2678.15811	0.9487
2676.1043	0.94937
2674.0505	0.94973
2671.9967	0.94957
2669.9429	0.94912
2667.8891	0.94871
2665.83529	0.9484
2663.78149	0.94811
2661.72769	0.94822
2659.67389	0.94848
2657.62008	0.94834
2655.56628	0.9482
2653.51248	0.94857
2651.45868	0.94913
2649.40488	0.94935
2647.35107	0.94924
2645.29727	0.94909
2643.24347	0.94922
2641.18967	0.94953
2639.13586	0.94959
2637.08206	0.94955
2635.02826	0.9497
2632.97446	0.94984
2630.92066	0.95006
2628.86685	0.95032
2626.81305	0.95036
2624.75925	0.95008
2622.70545	0.9496
2620.65164	0.94953
2618.59784	0.95008
2616.54404	0.95084
2614.49024	0.95147
2612.43644	0.95156
2610.38263	0.95096
2608.32883	0.95024
2606.27503	0.95002
2604.22123	0.95027
2602.16742	0.95077
2600.11362	0.9513
2598.05982	0.95176
2596.00602	0.95196
2593.95222	0.95188
2591.89841	0.95164
2589.84461	0.95127
2587.79081	0.95089
2585.73701	0.95081
2583.6832	0.95158
2581.6294	0.95254
2579.5756	0.95255
2577.5218	0.952
2575.468	0.95161
2573.41419	0.95162
2571.36039	0.95205
2569.30659	0.95244
2567.25279	0.95251
2565.19898	0.95257
2563.14518	0.95267
2561.09138	0.95249
2559.03758	0.95179
2556.98377	0.95114
2554.92997	0.95151
2552.87617	0.95254
2550.82237	0.95297
2548.76857	0.9525
2546.71476	0.95198
2544.66096	0.95217
2542.60716	0.95277
2540.55336	0.95324
2538.49955	0.95342
2536.44575	0.95307
2534.39195	0.95205
2532.33815	0.95104
2530.28435	0.95122
2528.23054	0.95232
2526.17674	0.95303
2524.12294	0.95316
2522.06914	0.95307
2520.01533	0.95282
2517.96153	0.95249
2515.90773	0.95208
2513.85393	0.95163
2511.80013	0.95153
2509.74632	0.95167
2507.69252	0.95202
2505.63872	0.95271
2503.58492	0.953
2501.53111	0.95284
2499.47731	0.95296
2497.42351	0.95332
2495.36971	0.95356
2493.31591	0.95366
2491.2621	0.95328
2489.2083	0.95274
2487.1545	0.95284
2485.1007	0.95304
2483.04689	0.95259
2480.99309	0.95215
2478.93929	0.95231
2476.88549	0.95264
2474.83169	0.95299
2472.77788	0.95334
2470.72408	0.95325
2468.67028	0.95307
2466.61648	0.95337
2464.56267	0.9535
2462.50887	0.95337
2460.45507	0.95368
2458.40127	0.95396
2456.34747	0.95398
2454.29366	0.95405
2452.23986	0.95393
2450.18606	0.95342
2448.13226	0.95296
2446.07845	0.95288
2444.02465	0.95297
2441.97085	0.95305
2439.91705	0.95303
2437.86325	0.95301
2435.80944	0.95327
2433.75564	0.95362
2431.70184	0.95372
2429.64804	0.95372
2427.59423	0.95381
2425.54043	0.95375
2423.48663	0.95345
2421.43283	0.95336
2419.37903	0.95363
2417.32522	0.95381
2415.27142	0.95368
2413.21762	0.95345
2411.16382	0.95332
2409.11001	0.95329
2407.05621	0.95328
2405.00241	0.95314
2402.94861	0.95303
2400.89481	0.95316
2398.841	0.95346
2396.7872	0.95361
2394.7334	0.95342
2392.6796	0.95325
2390.62579	0.95334
2388.57199	0.95331
2386.51819	0.95299
2384.46439	0.95279
2382.41059	0.95293
2380.35678	0.95343
2378.30298	0.9539
2376.24918	0.95398
2374.19538	0.95396
2372.14157	0.95364
2370.08777	0.95313
2368.03397	0.95327
2365.98017	0.9534
2363.92637	0.95279
2361.87256	0.95238
2359.81876	0.95264
2357.76496	0.95283
2355.71116	0.9525
2353.65735	0.95187
2351.60355	0.95139
2349.54975	0.95156
2347.49595	0.95185
2345.44215	0.95196
2343.38834	0.95253
2341.33454	0.95304
2339.28074	0.95283
2337.22694	0.95283
2335.17313	0.95346
2333.11933	0.95375
2331.06553	0.95276
2329.01173	0.95142
2326.95793	0.95077
2324.90412	0.95011
2322.85032	0.94931
2320.79652	0.94915
2318.74272	0.94991
2316.68891	0.95113
2314.63511	0.95208
2312.58131	0.95259
2310.52751	0.95297
2308.47371	0.95303
2306.4199	0.95283
2304.3661	0.95291
2302.3123	0.95296
2300.2585	0.95262
2298.20469	0.95222
2296.15089	0.95213
2294.09709	0.95252
2292.04329	0.95307
2289.98949	0.9534
2287.93568	0.95298
2285.88188	0.95187
2283.82808	0.95128
2281.77428	0.95186
2279.72047	0.95326
2277.66667	0.95438
2275.61287	0.95463
2273.55907	0.95426
2271.50527	0.95361
2269.45146	0.95308
2267.39766	0.953
2265.34386	0.95405
2263.29006	0.95531
2261.23625	0.95525
2259.18245	0.95508
2257.12865	0.95533
2255.07485	0.955
2253.02105	0.95456
2250.96724	0.95509
2248.91344	0.95616
2246.85964	0.9565
2244.80584	0.95596
2242.75203	0.95527
2240.69823	0.95478
2238.64443	0.95445
2236.59063	0.95404
2234.53683	0.95283
2232.48302	0.95181
2230.42922	0.9529
2228.37542	0.9549
2226.32162	0.95544
2224.26781	0.95473
2222.21401	0.95522
2220.16021	0.95707
2218.10641	0.95792
2216.0526	0.95762
2213.9988	0.95617
2211.945	0.95348
2209.8912	0.95234
2207.8374	0.95415
2205.78359	0.95589
2203.72979	0.95526
2201.67599	0.95362
2199.62219	0.95275
2197.56838	0.95336
2195.51458	0.95511
2193.46078	0.95625
2191.40698	0.95588
2189.35318	0.95524
2187.29937	0.95509
2185.24557	0.95512
2183.19177	0.95489
2181.13797	0.95544
2179.08416	0.95736
2177.03036	0.95858
2174.97656	0.95907
2172.92276	0.95998
2170.86896	0.96068
2168.81515	0.95992
2166.76135	0.95791
2164.70755	0.95605
2162.65375	0.95422
2160.59994	0.95459
2158.54614	0.95985
2156.49234	0.96416
2154.43854	0.96262
2152.38474	0.95989
2150.33093	0.95991
2148.27713	0.95986
2146.22333	0.95841
2144.16953	0.95814
2142.11572	0.95862
2140.06192	0.95866
2138.00812	0.95905
2135.95432	0.95926
2133.90052	0.95828
2131.84671	0.95688
2129.79291	0.9558
2127.73911	0.95522
2125.68531	0.95504
2123.6315	0.95504
2121.5777	0.95543
2119.5239	0.95583
2117.4701	0.95533
2115.4163	0.95457
2113.36249	0.95511
2111.30869	0.95591
2109.25489	0.95516
2107.20109	0.95364
2105.14728	0.95274
2103.09348	0.9528
2101.03968	0.95359
2098.98588	0.9548
2096.93208	0.95608
2094.87827	0.95679
2092.82447	0.95635
2090.77067	0.95544
2088.71687	0.95563
2086.66306	0.95661
2084.60926	0.95658
2082.55546	0.95609
2080.50166	0.95598
2078.44786	0.95548
2076.39405	0.95515
2074.34025	0.95585
2072.28645	0.95633
2070.23265	0.95527
2068.17884	0.95391
2066.12504	0.95426
2064.07124	0.95581
2062.01744	0.95704
2059.96364	0.95824
2057.90983	0.96027
2055.85603	0.96163
2053.80223	0.96029
2051.74843	0.95779
2049.69462	0.9562
2047.64082	0.95598
2045.58702	0.95649
2043.53322	0.95675
2041.47942	0.9572
2039.42561	0.95785
2037.37181	0.95798
2035.31801	0.95791
2033.26421	0.95854
2031.2104	0.95956
2029.1566	0.95977
2027.1028	0.95874
2025.049	0.95731
2022.9952	0.95724
2020.94139	0.95829
2018.88759	0.95847
2016.83379	0.95801
2014.77999	0.95753
2012.72618	0.95794
2010.67238	0.95893
2008.61858	0.9576
2006.56478	0.95555
2004.51098	0.95585
2002.45717	0.95812
2000.40337	0.9603
1998.34957	0.96009
1996.29577	0.959
1994.24196	0.95878
1992.18816	0.95881
1990.13436	0.95954
1988.08056	0.96003
1986.02676	0.95914
1983.97295	0.95829
1981.91915	0.95888
1979.86535	0.95969
1977.81155	0.95912
1975.75774	0.959
1973.70394	0.96003
1971.65014	0.9603
1969.59634	0.95998
1967.54254	0.96029
1965.48873	0.96048
1963.43493	0.9592
1961.38113	0.95812
1959.32733	0.95958
1957.27352	0.96245
1955.21972	0.96326
1953.16592	0.96166
1951.11212	0.96078
1949.05832	0.96194
1947.00451	0.96377
1944.95071	0.96433
1942.89691	0.96336
1940.84311	0.9629
1938.7893	0.96321
1936.7355	0.9627
1934.6817	0.96169
1932.6279	0.96149
1930.5741	0.96188
1928.52029	0.96205
1926.46649	0.96169
1924.41269	0.96107
1922.35889	0.9608
1920.30508	0.96133
1918.25128	0.96203
1916.19748	0.96201
1914.14368	0.96193
1912.08988	0.96181
1910.03607	0.96147
1907.98227	0.96134
1905.92847	0.96111
1903.87467	0.96086
1901.82086	0.96071
1899.76706	0.96044
1897.71326	0.95996
1895.65946	0.95989
1893.60566	0.96057
1891.55185	0.96067
1889.49805	0.96048
1887.44425	0.96091
1885.39045	0.96128
1883.33664	0.96148
1881.28284	0.96179
1879.22904	0.96202
1877.17524	0.96203
1875.12143	0.96251
1873.06763	0.96351
1871.01383	0.96361
1868.96003	0.96252
1866.90623	0.96182
1864.85242	0.9621
1862.79862	0.96263
1860.74482	0.96292
1858.69102	0.96287
1856.63721	0.96309
1854.58341	0.96343
1852.52961	0.96329
1850.47581	0.96299
1848.42201	0.96325
1846.3682	0.96393
1844.3144	0.96452
1842.2606	0.96474
1840.2068	0.96442
1838.15299	0.96411
1836.09919	0.96417
1834.04539	0.96444
1831.99159	0.96446
1829.93779	0.96408
1827.88398	0.96415
1825.83018	0.96474
1823.77638	0.96515
1821.72258	0.96536
1819.66877	0.96547
1817.61497	0.9657
1815.56117	0.96612
1813.50737	0.96632
1811.45357	0.96619
1809.39976	0.96609
1807.34596	0.96651
1805.29216	0.96711
1803.23836	0.9674
1801.18455	0.96717
1799.13075	0.96678
1797.07695	0.96689
1795.02315	0.96732
1792.96935	0.9678
1790.91554	0.96818
1788.86174	0.96842
1786.80794	0.96856
1784.75414	0.96874
1782.70033	0.96873
1780.64653	0.96858
1778.59273	0.96855
1776.53893	0.96852
1774.48513	0.96852
1772.43132	0.96867
1770.37752	0.96882
1768.32372	0.9687
1766.26992	0.96833
1764.21611	0.9679
1762.16231	0.96767
1760.10851	0.96742
1758.05471	0.96679
1756.00091	0.96533
1753.9471	0.96354
1751.8933	0.9618
1749.8395	0.95977
1747.7857	0.95787
1745.73189	0.95659
1743.67809	0.95634
1741.62429	0.95685
1739.57049	0.95719
1737.51669	0.95698
1735.46288	0.95746
1733.40908	0.95946
1731.35528	0.96205
1729.30148	0.96428
1727.24767	0.96498
1725.19387	0.96356
1723.14007	0.96105
1721.08627	0.95874
1719.03247	0.95647
1716.97866	0.95294
1714.92486	0.94784
1712.87106	0.94296
1710.81726	0.93781
