Numero de onda	Muestra 739
3996.69914	0.98254
3994.64534	0.98291
3992.59153	0.98337
3990.53773	0.98363
3988.48393	0.9834
3986.43013	0.98296
3984.37632	0.98277
3982.32252	0.98281
3980.26872	0.98305
3978.21492	0.98342
3976.16112	0.98386
3974.10731	0.98388
3972.05351	0.98316
3969.99971	0.98247
3967.94591	0.98265
3965.8921	0.98333
3963.8383	0.98362
3961.7845	0.98353
3959.7307	0.98368
3957.6769	0.98401
3955.62309	0.98408
3953.56929	0.98385
3951.51549	0.98341
3949.46169	0.98319
3947.40788	0.98313
3945.35408	0.98283
3943.30028	0.98281
3941.24648	0.98329
3939.19268	0.98347
3937.13887	0.98327
3935.08507	0.98314
3933.03127	0.98288
3930.97747	0.98259
3928.92366	0.98277
3926.86986	0.98318
3924.81606	0.9834
3922.76226	0.98366
3920.70845	0.98419
3918.65465	0.98457
3916.60085	0.98439
3914.54705	0.98357
3912.49325	0.98261
3910.43944	0.98214
3908.38564	0.98226
3906.33184	0.98273
3904.27804	0.98343
3902.22423	0.98382
3900.17043	0.98344
3898.11663	0.98311
3896.06283	0.98326
3894.00903	0.98327
3891.95522	0.9831
3889.90142	0.98345
3887.84762	0.98358
3885.79382	0.98282
3883.74001	0.98234
3881.68621	0.98234
3879.63241	0.98218
3877.57861	0.98213
3875.52481	0.9823
3873.471	0.98278
3871.4172	0.98321
3869.3634	0.98308
3867.3096	0.98291
3865.25579	0.98317
3863.20199	0.98341
3861.14819	0.98319
3859.09439	0.98333
3857.04059	0.98408
3854.98678	0.98466
3852.93298	0.98462
3850.87918	0.98441
3848.82538	0.98449
3846.77157	0.98449
3844.71777	0.98419
3842.66397	0.98393
3840.61017	0.98353
3838.55637	0.98264
3836.50256	0.98228
3834.44876	0.98271
3832.39496	0.98324
3830.34116	0.98361
3828.28735	0.98343
3826.23355	0.98301
3824.17975	0.98316
3822.12595	0.98364
3820.07215	0.9838
3818.01834	0.98346
3815.96454	0.98258
3813.91074	0.98204
3811.85694	0.98266
3809.80313	0.98361
3807.74933	0.984
3805.69553	0.98345
3803.64173	0.98265
3801.58793	0.98298
3799.53412	0.98401
3797.48032	0.98401
3795.42652	0.98377
3793.37272	0.98421
3791.31891	0.98446
3789.26511	0.98392
3787.21131	0.98349
3785.15751	0.98384
3783.10371	0.98424
3781.0499	0.98408
3778.9961	0.98363
3776.9423	0.98342
3774.8885	0.98346
3772.83469	0.98337
3770.78089	0.98321
3768.72709	0.98322
3766.67329	0.98313
3764.61949	0.98329
3762.56568	0.98413
3760.51188	0.98506
3758.45808	0.98549
3756.40428	0.98514
3754.35047	0.9845
3752.29667	0.98439
3750.24287	0.98435
3748.18907	0.98362
3746.13527	0.98269
3744.08146	0.98264
3742.02766	0.98377
3739.97386	0.98377
3737.92006	0.98247
3735.86625	0.98199
3733.81245	0.98277
3731.75865	0.98283
3729.70485	0.98278
3727.65105	0.9831
3725.59724	0.98335
3723.54344	0.98326
3721.48964	0.98286
3719.43584	0.98271
3717.38203	0.98316
3715.32823	0.98361
3713.27443	0.98404
3711.22063	0.98473
3709.16683	0.98464
3707.11302	0.9838
3705.05922	0.98332
3703.00542	0.98364
3700.95162	0.98415
3698.89781	0.98349
3696.84401	0.98228
3694.79021	0.98248
3692.73641	0.98401
3690.68261	0.98512
3688.6288	0.98486
3686.575	0.98395
3684.5212	0.98339
3682.4674	0.98335
3680.41359	0.98384
3678.35979	0.98437
3676.30599	0.98442
3674.25219	0.98425
3672.19839	0.98437
3670.14458	0.98475
3668.09078	0.98451
3666.03698	0.98405
3663.98318	0.98431
3661.92937	0.98495
3659.87557	0.98522
3657.82177	0.98473
3655.76797	0.98405
3653.71417	0.98406
3651.66036	0.9839
3649.60656	0.98291
3647.55276	0.98252
3645.49896	0.98295
3643.44515	0.98329
3641.39135	0.98351
3639.33755	0.98379
3637.28375	0.98404
3635.22995	0.9839
3633.17614	0.98351
3631.12234	0.9833
3629.06854	0.98344
3627.01474	0.98401
3624.96093	0.98438
3622.90713	0.98404
3620.85333	0.98355
3618.79953	0.98357
3616.74573	0.98301
3614.69192	0.98226
3612.63812	0.9824
3610.58432	0.9828
3608.53052	0.98328
3606.47671	0.98377
3604.42291	0.98379
3602.36911	0.98383
3600.31531	0.98385
3598.26151	0.98344
3596.2077	0.98289
3594.1539	0.98248
3592.1001	0.98261
3590.0463	0.98296
3587.99249	0.98288
3585.93869	0.98285
3583.88489	0.98329
3581.83109	0.98422
3579.77728	0.98452
3577.72348	0.98337
3575.66968	0.98232
3573.61588	0.98223
3571.56208	0.9825
3569.50827	0.98251
3567.45447	0.98151
3565.40067	0.98033
3563.34687	0.98028
3561.29306	0.98032
3559.23926	0.9802
3557.18546	0.9805
3555.13166	0.98114
3553.07786	0.9817
3551.02405	0.98168
3548.97025	0.98109
3546.91645	0.98054
3544.86265	0.98061
3542.80884	0.98096
3540.75504	0.98069
3538.70124	0.97994
3536.64744	0.97951
3534.59364	0.97948
3532.53983	0.97937
3530.48603	0.9793
3528.43223	0.97957
3526.37843	0.97978
3524.32462	0.97966
3522.27082	0.97959
3520.21702	0.9797
3518.16322	0.97937
3516.10942	0.97862
3514.05561	0.97805
3512.00181	0.97773
3509.94801	0.97765
3507.89421	0.97786
