Numero de onda	Muestra 113
3996.69914	0.97962
3994.64534	0.97982
3992.59153	0.97997
3990.53773	0.97978
3988.48393	0.97944
3986.43013	0.97944
3984.37632	0.97975
3982.32252	0.97999
3980.26872	0.98008
3978.21492	0.98006
3976.16112	0.98017
3974.10731	0.98032
3972.05351	0.9803
3969.99971	0.98021
3967.94591	0.98001
3965.8921	0.9798
3963.8383	0.97973
3961.7845	0.97968
3959.7307	0.9797
3957.6769	0.97973
3955.62309	0.97971
3953.56929	0.97981
3951.51549	0.97996
3949.46169	0.98006
3947.40788	0.98029
3945.35408	0.98064
3943.30028	0.98086
3941.24648	0.9808
3939.19268	0.98073
3937.13887	0.98059
3935.08507	0.98031
3933.03127	0.98017
3930.97747	0.98017
3928.92366	0.98039
3926.86986	0.98072
3924.81606	0.98074
3922.76226	0.98043
3920.70845	0.98008
3918.65465	0.97979
3916.60085	0.97981
3914.54705	0.98011
3912.49325	0.98031
3910.43944	0.98042
3908.38564	0.98062
3906.33184	0.98087
3904.27804	0.9809
3902.22423	0.98059
3900.17043	0.98043
3898.11663	0.98039
3896.06283	0.98018
3894.00903	0.98003
3891.95522	0.98009
3889.90142	0.98022
3887.84762	0.98031
3885.79382	0.98023
3883.74001	0.98004
3881.68621	0.9798
3879.63241	0.97962
3877.57861	0.97981
3875.52481	0.97995
3873.471	0.97973
3871.4172	0.97942
3869.3634	0.9793
3867.3096	0.97979
3865.25579	0.9806
3863.20199	0.9808
3861.14819	0.98049
3859.09439	0.9804
3857.04059	0.98044
3854.98678	0.98033
3852.93298	0.98028
3850.87918	0.98056
3848.82538	0.9807
3846.77157	0.98063
3844.71777	0.98058
3842.66397	0.98053
3840.61017	0.9805
3838.55637	0.98051
3836.50256	0.98056
3834.44876	0.98067
3832.39496	0.98058
3830.34116	0.98037
3828.28735	0.98039
3826.23355	0.98053
3824.17975	0.98047
3822.12595	0.98039
3820.07215	0.98029
3818.01834	0.98021
3815.96454	0.98047
3813.91074	0.98088
3811.85694	0.98102
3809.80313	0.981
3807.74933	0.98104
3805.69553	0.98108
3803.64173	0.98086
3801.58793	0.98029
3799.53412	0.98012
3797.48032	0.9803
3795.42652	0.98025
3793.37272	0.98019
3791.31891	0.98026
3789.26511	0.98035
3787.21131	0.98057
3785.15751	0.98087
3783.10371	0.98106
3781.0499	0.98117
3778.9961	0.981
3776.9423	0.98047
3774.8885	0.98011
3772.83469	0.98024
3770.78089	0.98058
3768.72709	0.98055
3766.67329	0.9806
3764.61949	0.98094
3762.56568	0.98082
3760.51188	0.98036
3758.45808	0.98033
3756.40428	0.98086
3754.35047	0.98144
3752.29667	0.98148
3750.24287	0.98099
3748.18907	0.98105
3746.13527	0.98132
3744.08146	0.98122
3742.02766	0.98101
3739.97386	0.9809
3737.92006	0.98085
3735.86625	0.98098
3733.81245	0.98094
3731.75865	0.98096
3729.70485	0.98142
3727.65105	0.9818
3725.59724	0.98179
3723.54344	0.98143
3721.48964	0.98085
3719.43584	0.98033
3717.38203	0.98007
3715.32823	0.98003
3713.27443	0.97988
3711.22063	0.97904
3709.16683	0.97806
3707.11302	0.97775
3705.05922	0.97773
3703.00542	0.97726
3700.95162	0.97603
3698.89781	0.97499
3696.84401	0.97449
3694.79021	0.9743
3692.73641	0.97447
3690.68261	0.97471
3688.6288	0.97485
3686.575	0.97521
3684.5212	0.97574
3682.4674	0.97621
3680.41359	0.97641
3678.35979	0.97623
3676.30599	0.97586
3674.25219	0.97564
3672.19839	0.97565
3670.14458	0.9757
3668.09078	0.97552
3666.03698	0.97513
3663.98318	0.97489
3661.92937	0.97483
3659.87557	0.97467
3657.82177	0.97428
3655.76797	0.97382
3653.71417	0.97384
3651.66036	0.97422
3649.60656	0.97409
3647.55276	0.97353
3645.49896	0.9731
3643.44515	0.97246
3641.39135	0.97193
3639.33755	0.97195
3637.28375	0.97191
3635.22995	0.97136
3633.17614	0.97075
3631.12234	0.97048
3629.06854	0.97012
3627.01474	0.96976
3624.96093	0.96972
3622.90713	0.9694
3620.85333	0.96902
3618.79953	0.96906
3616.74573	0.96904
3614.69192	0.9688
3612.63812	0.96864
3610.58432	0.96847
3608.53052	0.96804
3606.47671	0.9678
3604.42291	0.96809
3602.36911	0.96843
3600.31531	0.96834
3598.26151	0.96799
3596.2077	0.96761
3594.1539	0.9672
3592.1001	0.96709
3590.0463	0.9673
3587.99249	0.96719
3585.93869	0.96664
3583.88489	0.96632
3581.83109	0.96623
3579.77728	0.96613
3577.72348	0.9659
3575.66968	0.9657
3573.61588	0.96562
3571.56208	0.96538
3569.50827	0.9648
3567.45447	0.96404
3565.40067	0.96364
3563.34687	0.96372
3561.29306	0.96386
3559.23926	0.96399
3557.18546	0.96416
3555.13166	0.96412
3553.07786	0.96367
3551.02405	0.96308
3548.97025	0.96268
3546.91645	0.96221
3544.86265	0.96156
3542.80884	0.96135
3540.75504	0.96153
3538.70124	0.96147
3536.64744	0.96112
3534.59364	0.96085
3532.53983	0.96054
3530.48603	0.96002
3528.43223	0.95976
3526.37843	0.95993
3524.32462	0.96017
3522.27082	0.96028
3520.21702	0.96024
3518.16322	0.96003
3516.10942	0.95982
3514.05561	0.9596
3512.00181	0.95933
3509.94801	0.959
3507.89421	0.9586
3505.8404	0.95849
3503.7866	0.95867
3501.7328	0.95864
3499.679	0.95824
3497.6252	0.9579
3495.57139	0.95786
3493.51759	0.9578
3491.46379	0.95751
3489.40999	0.95718
3487.35618	0.95686
3485.30238	0.95657
3483.24858	0.95649
3481.19478	0.95666
3479.14098	0.95675
3477.08717	0.9566
3475.03337	0.95637
3472.97957	0.95618
3470.92577	0.95586
3468.87196	0.95559
3466.81816	0.95545
3464.76436	0.95508
3462.71056	0.95462
3460.65676	0.95447
3458.60295	0.95445
3456.54915	0.95448
3454.49535	0.95467
3452.44155	0.95466
3450.38774	0.95423
3448.33394	0.95377
3446.28014	0.95346
3444.22634	0.95346
3442.17254	0.9538
3440.11873	0.95383
3438.06493	0.9535
3436.01113	0.95322
3433.95733	0.95316
3431.90352	0.95333
3429.84972	0.95336
3427.79592	0.95316
3425.74212	0.9531
3423.68832	0.95305
3421.63451	0.95273
3419.58071	0.9523
3417.52691	0.95206
3415.47311	0.9518
3413.4193	0.95142
3411.3655	0.95127
3409.3117	0.95137
3407.2579	0.9517
3405.2041	0.95206
3403.15029	0.95207
3401.09649	0.95185
3399.04269	0.95173
3396.98889	0.95166
3394.93508	0.95142
3392.88128	0.95114
3390.82748	0.95104
3388.77368	0.95112
3386.71988	0.95137
3384.66607	0.95176
3382.61227	0.95202
3380.55847	0.95214
3378.50467	0.95222
3376.45086	0.95222
3374.39706	0.95216
3372.34326	0.95205
3370.28946	0.95197
3368.23566	0.95211
3366.18185	0.95251
3364.12805	0.95285
3362.07425	0.95303
3360.02045	0.95308
3357.96664	0.95279
3355.91284	0.9524
3353.85904	0.95252
3351.80524	0.95291
3349.75144	0.95286
3347.69763	0.95255
3345.64383	0.95255
3343.59003	0.95267
3341.53623	0.95275
3339.48242	0.95299
3337.42862	0.95336
3335.37482	0.95377
3333.32102	0.95415
3331.26722	0.95432
3329.21341	0.9543
3327.15961	0.95431
3325.10581	0.95438
3323.05201	0.95444
3320.9982	0.95449
3318.9444	0.95449
3316.8906	0.95443
3314.8368	0.95439
3312.783	0.95437
3310.72919	0.95439
3308.67539	0.95453
3306.62159	0.95483
3304.56779	0.95521
3302.51398	0.9555
3300.46018	0.95557
3298.40638	0.95543
3296.35258	0.95501
3294.29878	0.95461
3292.24497	0.95463
3290.19117	0.95483
3288.13737	0.95496
3286.08357	0.95509
3284.02976	0.95536
3281.97596	0.95577
3279.92216	0.95621
3277.86836	0.95655
3275.81456	0.95678
3273.76075	0.95703
3271.70695	0.95713
3269.65315	0.95712
3267.59935	0.95712
3265.54554	0.95699
3263.49174	0.95711
3261.43794	0.95776
3259.38414	0.95821
3257.33034	0.95818
3255.27653	0.958
3253.22273	0.95785
3251.16893	0.95808
3249.11513	0.95864
3247.06132	0.95909
3245.00752	0.95934
3242.95372	0.95935
3240.89992	0.9594
3238.84611	0.9597
3236.79231	0.95992
3234.73851	0.96002
3232.68471	0.96016
3230.63091	0.96032
3228.5771	0.96055
3226.5233	0.96078
3224.4695	0.961
3222.4157	0.96126
3220.36189	0.96141
3218.30809	0.96145
3216.25429	0.9614
3214.20049	0.96149
3212.14669	0.96179
3210.09288	0.96184
3208.03908	0.96188
3205.98528	0.96222
3203.93148	0.9624
3201.87767	0.96233
3199.82387	0.96238
3197.77007	0.96272
3195.71627	0.96314
3193.66247	0.96338
3191.60866	0.96345
3189.55486	0.9635
3187.50106	0.96369
3185.44726	0.96404
3183.39345	0.96438
3181.33965	0.96456
3179.28585	0.96468
3177.23205	0.96481
3175.17825	0.96486
3173.12444	0.96496
3171.07064	0.96541
3169.01684	0.96586
3166.96304	0.96615
3164.90923	0.96652
3162.85543	0.96693
3160.80163	0.96711
3158.74783	0.96699
3156.69403	0.96689
3154.64022	0.96689
3152.58642	0.96694
3150.53262	0.96701
3148.47882	0.9672
3146.42501	0.96751
3144.37121	0.96776
3142.31741	0.96799
3140.26361	0.96821
3138.20981	0.96825
3136.156	0.96824
3134.1022	0.96833
3132.0484	0.96856
3129.9946	0.9689
3127.94079	0.96919
3125.88699	0.96932
