Numero de onda	Muestra 262
3996.69914	0.98551
3994.64534	0.98529
3992.59153	0.98484
3990.53773	0.98442
3988.48393	0.98436
3986.43013	0.98491
3984.37632	0.98531
3982.32252	0.98512
3980.26872	0.985
3978.21492	0.98497
3976.16112	0.98481
3974.10731	0.9849
3972.05351	0.98514
3969.99971	0.9852
3967.94591	0.98512
3965.8921	0.98483
3963.8383	0.98442
3961.7845	0.98432
3959.7307	0.98461
3957.6769	0.98499
3955.62309	0.98523
3953.56929	0.98509
3951.51549	0.98466
3949.46169	0.98454
3947.40788	0.9848
3945.35408	0.98481
3943.30028	0.98456
3941.24648	0.98454
3939.19268	0.98474
3937.13887	0.98471
3935.08507	0.98442
3933.03127	0.98439
3930.97747	0.98468
3928.92366	0.98478
3926.86986	0.98453
3924.81606	0.98419
3922.76226	0.98418
3920.70845	0.98438
3918.65465	0.98452
3916.60085	0.98457
3914.54705	0.98465
3912.49325	0.98483
3910.43944	0.98497
3908.38564	0.98496
3906.33184	0.98482
3904.27804	0.98463
3902.22423	0.98466
3900.17043	0.98496
3898.11663	0.98511
3896.06283	0.98508
3894.00903	0.98512
3891.95522	0.98523
3889.90142	0.9852
3887.84762	0.98501
3885.79382	0.98486
3883.74001	0.9849
3881.68621	0.98499
3879.63241	0.98493
3877.57861	0.98486
3875.52481	0.98486
3873.471	0.98471
3871.4172	0.98442
3869.3634	0.98434
3867.3096	0.98457
3865.25579	0.98468
3863.20199	0.98446
3861.14819	0.9843
3859.09439	0.98465
3857.04059	0.98525
3854.98678	0.98552
3852.93298	0.9852
3850.87918	0.985
3848.82538	0.98517
3846.77157	0.98525
3844.71777	0.98515
3842.66397	0.98506
3840.61017	0.98494
3838.55637	0.98482
3836.50256	0.98513
3834.44876	0.98567
3832.39496	0.98583
3830.34116	0.98546
3828.28735	0.98503
3826.23355	0.98491
3824.17975	0.98507
3822.12595	0.98507
3820.07215	0.98484
3818.01834	0.98487
3815.96454	0.98494
3813.91074	0.9849
3811.85694	0.98484
3809.80313	0.98463
3807.74933	0.9845
3805.69553	0.98468
3803.64173	0.98489
3801.58793	0.985
3799.53412	0.9852
3797.48032	0.98534
3795.42652	0.98514
3793.37272	0.98503
3791.31891	0.98512
3789.26511	0.98507
3787.21131	0.98509
3785.15751	0.98522
3783.10371	0.98514
3781.0499	0.98511
3778.9961	0.98524
3776.9423	0.98532
3774.8885	0.98545
3772.83469	0.98543
3770.78089	0.98512
3768.72709	0.98484
3766.67329	0.98464
3764.61949	0.9847
3762.56568	0.98528
3760.51188	0.98568
3758.45808	0.98561
3756.40428	0.98578
3754.35047	0.9863
3752.29667	0.98656
3750.24287	0.98633
3748.18907	0.98614
3746.13527	0.98609
3744.08146	0.98614
3742.02766	0.98644
3739.97386	0.9868
3737.92006	0.98681
3735.86625	0.98633
3733.81245	0.98603
3731.75865	0.98616
3729.70485	0.9863
3727.65105	0.98649
3725.59724	0.98675
3723.54344	0.98685
3721.48964	0.98655
3719.43584	0.98594
3717.38203	0.98572
3715.32823	0.98593
3713.27443	0.98606
3711.22063	0.98583
3709.16683	0.98541
3707.11302	0.9851
3705.05922	0.98483
3703.00542	0.98475
3700.95162	0.98495
3698.89781	0.98515
3696.84401	0.9852
3694.79021	0.9853
3692.73641	0.98541
3690.68261	0.98518
3688.6288	0.98468
3686.575	0.98454
3684.5212	0.98477
3682.4674	0.98508
3680.41359	0.98548
3678.35979	0.98598
3676.30599	0.98601
3674.25219	0.98545
3672.19839	0.98526
3670.14458	0.98529
3668.09078	0.98556
3666.03698	0.98597
3663.98318	0.986
3661.92937	0.98586
3659.87557	0.98589
3657.82177	0.98592
3655.76797	0.98574
3653.71417	0.98554
3651.66036	0.98565
3649.60656	0.98592
3647.55276	0.9857
3645.49896	0.98534
3643.44515	0.98514
3641.39135	0.98493
3639.33755	0.98488
3637.28375	0.98496
3635.22995	0.98494
3633.17614	0.98471
3631.12234	0.98424
3629.06854	0.98391
3627.01474	0.9841
3624.96093	0.98441
3622.90713	0.98446
3620.85333	0.98409
3618.79953	0.98379
3616.74573	0.98404
3614.69192	0.98425
3612.63812	0.984
3610.58432	0.98368
3608.53052	0.98373
3606.47671	0.98401
3604.42291	0.98413
3602.36911	0.98385
3600.31531	0.98353
3598.26151	0.98366
3596.2077	0.98375
3594.1539	0.98342
3592.1001	0.98341
3590.0463	0.98381
3587.99249	0.98394
3585.93869	0.98411
3583.88489	0.9845
3581.83109	0.98438
3579.77728	0.98391
3577.72348	0.98357
3575.66968	0.98316
3573.61588	0.98281
3571.56208	0.98273
3569.50827	0.98261
3567.45447	0.98243
3565.40067	0.98247
3563.34687	0.98246
3561.29306	0.9824
3559.23926	0.98242
3557.18546	0.98225
3555.13166	0.98195
3553.07786	0.98164
3551.02405	0.9813
3548.97025	0.98112
3546.91645	0.98121
3544.86265	0.98142
3542.80884	0.98152
3540.75504	0.98177
3538.70124	0.98211
3536.64744	0.98184
3534.59364	0.981
3532.53983	0.98058
3530.48603	0.98073
3528.43223	0.98082
3526.37843	0.98062
3524.32462	0.98051
3522.27082	0.98063
3520.21702	0.98061
3518.16322	0.98036
3516.10942	0.98025
3514.05561	0.98039
3512.00181	0.98048
3509.94801	0.98037
3507.89421	0.98008
3505.8404	0.97963
3503.7866	0.9794
3501.7328	0.9797
3499.679	0.98005
3497.6252	0.97996
3495.57139	0.9797
3493.51759	0.97951
3491.46379	0.97919
3489.40999	0.97887
3487.35618	0.97887
3485.30238	0.97882
3483.24858	0.97859
3481.19478	0.97852
3479.14098	0.97854
3477.08717	0.97837
3475.03337	0.97795
3472.97957	0.9777
3470.92577	0.97787
3468.87196	0.97799
3466.81816	0.97787
3464.76436	0.9777
3462.71056	0.97753
3460.65676	0.9773
3458.60295	0.97703
3456.54915	0.97679
3454.49535	0.97666
3452.44155	0.97676
3450.38774	0.97718
3448.33394	0.97757
3446.28014	0.97745
3444.22634	0.977
3442.17254	0.97674
3440.11873	0.97668
3438.06493	0.9766
3436.01113	0.97644
3433.95733	0.97628
3431.90352	0.976
3429.84972	0.97569
3427.79592	0.97571
3425.74212	0.97596
3423.68832	0.97607
3421.63451	0.97607
3419.58071	0.97595
3417.52691	0.97563
3415.47311	0.97525
3413.4193	0.975
3411.3655	0.97508
3409.3117	0.97538
3407.2579	0.97528
3405.2041	0.97475
3403.15029	0.97441
3401.09649	0.97451
3399.04269	0.97469
3396.98889	0.97483
3394.93508	0.97487
3392.88128	0.97475
3390.82748	0.97465
3388.77368	0.97453
3386.71988	0.97416
3384.66607	0.97361
3382.61227	0.97331
3380.55847	0.97352
3378.50467	0.97367
3376.45086	0.97348
3374.39706	0.97327
3372.34326	0.97323
3370.28946	0.97332
3368.23566	0.97323
3366.18185	0.97286
3364.12805	0.97261
3362.07425	0.97257
3360.02045	0.97241
3357.96664	0.97213
3355.91284	0.97189
3353.85904	0.97195
3351.80524	0.97231
3349.75144	0.97235
3347.69763	0.97188
3345.64383	0.97136
3343.59003	0.97089
3341.53623	0.9707
3339.48242	0.97082
3337.42862	0.97086
3335.37482	0.97083
3333.32102	0.97094
3331.26722	0.97109
3329.21341	0.97089
3327.15961	0.97025
3325.10581	0.96977
3323.05201	0.96992
3320.9982	0.97017
3318.9444	0.9701
3316.8906	0.96984
3314.8368	0.96942
3312.783	0.9691
3310.72919	0.96909
3308.67539	0.969
3306.62159	0.96868
3304.56779	0.96845
3302.51398	0.96851
3300.46018	0.9687
3298.40638	0.96875
3296.35258	0.96855
3294.29878	0.96839
3292.24497	0.96836
3290.19117	0.96841
3288.13737	0.96856
