Numero de onda	Muestra 728
3996.69914	0.99084
3994.64534	0.99048
3992.59153	0.99078
3990.53773	0.99118
3988.48393	0.99126
3986.43013	0.99099
3984.37632	0.99065
3982.32252	0.99056
3980.26872	0.99099
3978.21492	0.99153
3976.16112	0.99182
3974.10731	0.99182
3972.05351	0.99163
3969.99971	0.99162
3967.94591	0.99152
3965.8921	0.99131
3963.8383	0.99131
3961.7845	0.99131
3959.7307	0.99143
3957.6769	0.99171
3955.62309	0.9917
3953.56929	0.99152
3951.51549	0.99163
3949.46169	0.99179
3947.40788	0.99164
3945.35408	0.9914
3943.30028	0.9915
3941.24648	0.992
3939.19268	0.99237
3937.13887	0.99232
3935.08507	0.992
3933.03127	0.99151
3930.97747	0.99088
3928.92366	0.99044
3926.86986	0.99063
3924.81606	0.99164
3922.76226	0.99278
3920.70845	0.99269
3918.65465	0.992
3916.60085	0.99192
3914.54705	0.99175
3912.49325	0.9912
3910.43944	0.99093
3908.38564	0.99099
3906.33184	0.99124
3904.27804	0.99161
3902.22423	0.99195
3900.17043	0.99221
3898.11663	0.99191
3896.06283	0.99131
3894.00903	0.99125
3891.95522	0.9914
3889.90142	0.99118
3887.84762	0.99098
3885.79382	0.99115
3883.74001	0.99154
3881.68621	0.99146
3879.63241	0.9912
3877.57861	0.99142
3875.52481	0.99139
3873.471	0.99123
3871.4172	0.99154
3869.3634	0.99197
3867.3096	0.99226
3865.25579	0.99205
3863.20199	0.99164
3861.14819	0.99177
3859.09439	0.99218
3857.04059	0.99253
3854.98678	0.9923
3852.93298	0.99138
3850.87918	0.99134
3848.82538	0.99159
3846.77157	0.99143
3844.71777	0.99116
3842.66397	0.99116
3840.61017	0.9915
3838.55637	0.9922
3836.50256	0.99276
3834.44876	0.99254
3832.39496	0.9923
3830.34116	0.99253
3828.28735	0.99248
3826.23355	0.99208
3824.17975	0.99198
3822.12595	0.99165
3820.07215	0.99063
3818.01834	0.99044
3815.96454	0.99105
3813.91074	0.99144
3811.85694	0.99176
3809.80313	0.99238
3807.74933	0.99311
3805.69553	0.99345
3803.64173	0.99335
3801.58793	0.9934
3799.53412	0.99339
3797.48032	0.99247
3795.42652	0.99156
3793.37272	0.99182
3791.31891	0.99244
3789.26511	0.99258
3787.21131	0.99239
3785.15751	0.99215
3783.10371	0.99184
3781.0499	0.99176
3778.9961	0.99163
3776.9423	0.99112
3774.8885	0.99077
3772.83469	0.99095
3770.78089	0.99186
3768.72709	0.99271
3766.67329	0.99258
3764.61949	0.99213
3762.56568	0.9918
3760.51188	0.99147
3758.45808	0.99136
3756.40428	0.99157
3754.35047	0.99143
3752.29667	0.99125
3750.24287	0.99201
3748.18907	0.99271
3746.13527	0.99324
3744.08146	0.99369
3742.02766	0.99309
3739.97386	0.99244
3737.92006	0.99214
3735.86625	0.99221
3733.81245	0.99288
3731.75865	0.99254
3729.70485	0.99161
3727.65105	0.99169
3725.59724	0.99255
3723.54344	0.99291
3721.48964	0.99215
3719.43584	0.99124
3717.38203	0.99104
3715.32823	0.99123
3713.27443	0.99134
3711.22063	0.99097
3709.16683	0.99026
3707.11302	0.98981
3705.05922	0.98931
3703.00542	0.98855
3700.95162	0.98816
3698.89781	0.98804
3696.84401	0.98779
3694.79021	0.98826
3692.73641	0.98937
3690.68261	0.98973
3688.6288	0.98879
3686.575	0.98769
3684.5212	0.98758
3682.4674	0.98825
3680.41359	0.98887
3678.35979	0.98864
3676.30599	0.98687
3674.25219	0.98521
3672.19839	0.98559
3670.14458	0.98587
3668.09078	0.98554
3666.03698	0.98581
3663.98318	0.98621
3661.92937	0.98616
3659.87557	0.98565
3657.82177	0.98466
3655.76797	0.98353
3653.71417	0.98321
3651.66036	0.9835
3649.60656	0.98322
3647.55276	0.98212
3645.49896	0.98143
3643.44515	0.98081
3641.39135	0.97996
3639.33755	0.97923
3637.28375	0.97856
3635.22995	0.97778
3633.17614	0.97763
3631.12234	0.9779
3629.06854	0.97665
3627.01474	0.97412
3624.96093	0.9728
3622.90713	0.97288
3620.85333	0.97369
3618.79953	0.97365
3616.74573	0.97304
3614.69192	0.9733
3612.63812	0.9741
3610.58432	0.97476
3608.53052	0.9748
3606.47671	0.97373
3604.42291	0.97286
3602.36911	0.97345
3600.31531	0.97412
3598.26151	0.97338
3596.2077	0.97241
3594.1539	0.97182
3592.1001	0.97115
3590.0463	0.97065
3587.99249	0.97031
3585.93869	0.9702
3583.88489	0.97009
3581.83109	0.96948
3579.77728	0.96887
3577.72348	0.9685
3575.66968	0.96793
3573.61588	0.96746
3571.56208	0.96747
3569.50827	0.9678
3567.45447	0.96767
3565.40067	0.9665
3563.34687	0.96559
3561.29306	0.96513
3559.23926	0.96464
3557.18546	0.96431
3555.13166	0.96402
3553.07786	0.96357
3551.02405	0.96311
3548.97025	0.96269
3546.91645	0.96224
3544.86265	0.96189
3542.80884	0.96181
3540.75504	0.9616
3538.70124	0.96096
3536.64744	0.96036
3534.59364	0.96
3532.53983	0.95951
3530.48603	0.95888
3528.43223	0.95846
