Numero de onda	Muestra 617
3996.69914	0.96403
3994.64534	0.96408
3992.59153	0.9642
3990.53773	0.96449
3988.48393	0.9649
3986.43013	0.96475
3984.37632	0.96391
3982.32252	0.96355
3980.26872	0.96406
3978.21492	0.96455
3976.16112	0.96469
3974.10731	0.96485
3972.05351	0.96506
3969.99971	0.9653
3967.94591	0.96559
3965.8921	0.96549
3963.8383	0.96502
3961.7845	0.96479
3959.7307	0.96504
3957.6769	0.96491
3955.62309	0.96423
3953.56929	0.96402
3951.51549	0.96407
3949.46169	0.96366
3947.40788	0.96339
3945.35408	0.96388
3943.30028	0.96448
3941.24648	0.96457
3939.19268	0.96448
3937.13887	0.96462
3935.08507	0.9647
3933.03127	0.96453
3930.97747	0.96449
3928.92366	0.96469
3926.86986	0.96504
3924.81606	0.96525
3922.76226	0.96503
3920.70845	0.96466
3918.65465	0.96457
3916.60085	0.96475
3914.54705	0.96485
3912.49325	0.96464
3910.43944	0.96451
3908.38564	0.9651
3906.33184	0.96586
3904.27804	0.96574
3902.22423	0.96518
3900.17043	0.96553
3898.11663	0.9661
3896.06283	0.96582
3894.00903	0.96555
3891.95522	0.96567
3889.90142	0.96554
3887.84762	0.96557
3885.79382	0.96596
3883.74001	0.96595
3881.68621	0.9655
3879.63241	0.96475
3877.57861	0.96408
3875.52481	0.9638
3873.471	0.96409
3871.4172	0.96458
3869.3634	0.96458
3867.3096	0.96448
3865.25579	0.9644
3863.20199	0.96431
3861.14819	0.96478
3859.09439	0.96561
3857.04059	0.96607
3854.98678	0.96509
3852.93298	0.96281
3850.87918	0.9629
3848.82538	0.96405
3846.77157	0.96464
3844.71777	0.96503
3842.66397	0.9653
3840.61017	0.96519
3838.55637	0.96499
3836.50256	0.96492
3834.44876	0.96514
3832.39496	0.9658
3830.34116	0.96635
3828.28735	0.96637
3826.23355	0.96616
3824.17975	0.96594
3822.12595	0.96532
3820.07215	0.96463
3818.01834	0.96489
3815.96454	0.96542
3813.91074	0.96554
3811.85694	0.96546
3809.80313	0.96541
3807.74933	0.96558
3805.69553	0.96604
3803.64173	0.966
3801.58793	0.96518
3799.53412	0.96489
3797.48032	0.96539
3795.42652	0.96569
3793.37272	0.9658
3791.31891	0.96614
3789.26511	0.96645
3787.21131	0.9664
3785.15751	0.96611
3783.10371	0.96598
3781.0499	0.96606
3778.9961	0.96617
3776.9423	0.96623
3774.8885	0.96648
3772.83469	0.96669
3770.78089	0.96619
3768.72709	0.96535
3766.67329	0.96556
3764.61949	0.96623
3762.56568	0.96641
3760.51188	0.96672
3758.45808	0.96709
3756.40428	0.96713
3754.35047	0.96751
3752.29667	0.96821
3750.24287	0.96839
3748.18907	0.96825
3746.13527	0.96788
3744.08146	0.96704
3742.02766	0.96736
3739.97386	0.96849
3737.92006	0.96918
3735.86625	0.96877
3733.81245	0.96724
3731.75865	0.96622
3729.70485	0.96642
3727.65105	0.9669
3725.59724	0.9671
3723.54344	0.96718
3721.48964	0.96678
3719.43584	0.96581
3717.38203	0.96536
3715.32823	0.96559
3713.27443	0.96498
3711.22063	0.96232
3709.16683	0.95998
3707.11302	0.95919
3705.05922	0.95844
3703.00542	0.95687
3700.95162	0.95442
3698.89781	0.95286
3696.84401	0.95304
3694.79021	0.9536
3692.73641	0.95412
3690.68261	0.95538
3688.6288	0.95679
3686.575	0.95746
3684.5212	0.95769
3682.4674	0.95727
3680.41359	0.95654
3678.35979	0.95635
3676.30599	0.95633
3674.25219	0.95604
3672.19839	0.95622
3670.14458	0.95603
3668.09078	0.95438
3666.03698	0.95274
3663.98318	0.95214
3661.92937	0.95211
3659.87557	0.95202
3657.82177	0.95164
3655.76797	0.95052
3653.71417	0.94941
3651.66036	0.94894
3649.60656	0.94808
3647.55276	0.947
3645.49896	0.9463
3643.44515	0.94548
3641.39135	0.94495
3639.33755	0.94504
3637.28375	0.945
3635.22995	0.9443
3633.17614	0.94315
3631.12234	0.94186
3629.06854	0.93996
3627.01474	0.9386
3624.96093	0.93897
3622.90713	0.9395
3620.85333	0.93932
3618.79953	0.93889
3616.74573	0.93905
3614.69192	0.93951
3612.63812	0.94023
3610.58432	0.94148
3608.53052	0.94226
3606.47671	0.94208
3604.42291	0.94211
3602.36911	0.94257
3600.31531	0.94266
3598.26151	0.94199
3596.2077	0.94121
3594.1539	0.94116
3592.1001	0.94186
3590.0463	0.94265
3587.99249	0.94286
3585.93869	0.94199
3583.88489	0.94099
3581.83109	0.94121
3579.77728	0.94211
3577.72348	0.94214
3575.66968	0.94136
3573.61588	0.94071
3571.56208	0.94073
3569.50827	0.94132
3567.45447	0.94144
3565.40067	0.94073
3563.34687	0.94042
3561.29306	0.94021
3559.23926	0.93968
3557.18546	0.93944
3555.13166	0.9394
3553.07786	0.93905
3551.02405	0.93894
3548.97025	0.93956
3546.91645	0.93985
3544.86265	0.9393
3542.80884	0.93883
3540.75504	0.93879
3538.70124	0.93874
3536.64744	0.93855
3534.59364	0.93852
3532.53983	0.93831
3530.48603	0.93778
3528.43223	0.93801
3526.37843	0.93884
3524.32462	0.93899
3522.27082	0.93866
3520.21702	0.93838
3518.16322	0.93834
3516.10942	0.93862
3514.05561	0.93916
3512.00181	0.93947
3509.94801	0.93901
3507.89421	0.93848
3505.8404	0.93863
3503.7866	0.93875
3501.7328	0.93851
3499.679	0.93841
3497.6252	0.9382
3495.57139	0.93744
3493.51759	0.93645
3491.46379	0.93637
3489.40999	0.93709
3487.35618	0.93734
3485.30238	0.937
3483.24858	0.93647
3481.19478	0.93606
3479.14098	0.93591
3477.08717	0.93575
3475.03337	0.93548
3472.97957	0.9351
3470.92577	0.93481
3468.87196	0.93482
3466.81816	0.93466
3464.76436	0.93396
3462.71056	0.93336
3460.65676	0.93336
3458.60295	0.93344
3456.54915	0.93336
3454.49535	0.9333
3452.44155	0.93295
3450.38774	0.93238
3448.33394	0.93179
3446.28014	0.93135
3444.22634	0.93138
3442.17254	0.93144
3440.11873	0.93095
3438.06493	0.93036
3436.01113	0.93012
3433.95733	0.92996
3431.90352	0.92994
3429.84972	0.92999
3427.79592	0.92977
3425.74212	0.92945
3423.68832	0.92933
3421.63451	0.92916
3419.58071	0.92858
3417.52691	0.928
3415.47311	0.92763
3413.4193	0.92738
3411.3655	0.9273
3409.3117	0.92731
3407.2579	0.92696
3405.2041	0.92608
3403.15029	0.92549
3401.09649	0.92537
3399.04269	0.92522
3396.98889	0.92547
3394.93508	0.92592
3392.88128	0.92568
3390.82748	0.92526
3388.77368	0.92516
3386.71988	0.9248
3384.66607	0.92423
3382.61227	0.92407
