Numero de onda	Policaprolactona1.dpt
3996.69914	0.98332
3994.64534	0.98377
3992.59153	0.98383
3990.53773	0.9834
3988.48393	0.98301
3986.43013	0.98284
3984.37632	0.98291
3982.32252	0.98349
3980.26872	0.98422
3978.21492	0.98416
3976.16112	0.98355
3974.10731	0.98349
3972.05351	0.9839
3969.99971	0.98412
3967.94591	0.98404
3965.8921	0.98375
3963.8383	0.98352
3961.7845	0.9835
3959.7307	0.98365
3957.6769	0.98401
3955.62309	0.98424
3953.56929	0.9842
3951.51549	0.98416
3949.46169	0.98427
3947.40788	0.98447
3945.35408	0.9848
3943.30028	0.98516
3941.24648	0.98507
3939.19268	0.98456
3937.13887	0.98438
3935.08507	0.98462
3933.03127	0.98498
3930.97747	0.98544
3928.92366	0.98551
3926.86986	0.98514
3924.81606	0.98465
3922.76226	0.98416
3920.70845	0.98404
3918.65465	0.98402
3916.60085	0.98407
3914.54705	0.98456
3912.49325	0.98492
3910.43944	0.9848
3908.38564	0.98459
3906.33184	0.98469
3904.27804	0.9849
3902.22423	0.98472
3900.17043	0.98456
3898.11663	0.98478
3896.06283	0.98499
3894.00903	0.98528
3891.95522	0.9855
3889.90142	0.98493
3887.84762	0.98432
3885.79382	0.98457
3883.74001	0.98508
3881.68621	0.98511
3879.63241	0.98511
3877.57861	0.98533
3875.52481	0.98531
3873.471	0.98486
3871.4172	0.98445
3869.3634	0.98438
3867.3096	0.98458
3865.25579	0.98528
3863.20199	0.98607
3861.14819	0.98602
3859.09439	0.98577
3857.04059	0.98613
3854.98678	0.98686
3852.93298	0.98691
3850.87918	0.98614
3848.82538	0.98572
3846.77157	0.98553
3844.71777	0.98533
3842.66397	0.9851
3840.61017	0.98496
3838.55637	0.98514
3836.50256	0.9858
3834.44876	0.98652
3832.39496	0.9866
3830.34116	0.98584
3828.28735	0.98498
3826.23355	0.98466
3824.17975	0.98474
3822.12595	0.98515
3820.07215	0.98574
3818.01834	0.98601
3815.96454	0.98615
3813.91074	0.98562
3811.85694	0.98474
3809.80313	0.98432
3807.74933	0.98435
3805.69553	0.98456
3803.64173	0.98483
3801.58793	0.98539
3799.53412	0.98559
3797.48032	0.98571
3795.42652	0.98625
3793.37272	0.98634
3791.31891	0.98623
3789.26511	0.98629
3787.21131	0.98621
3785.15751	0.98583
3783.10371	0.98543
3781.0499	0.98541
3778.9961	0.98578
3776.9423	0.9864
3774.8885	0.98664
3772.83469	0.98617
3770.78089	0.9856
3768.72709	0.98493
3766.67329	0.98453
3764.61949	0.98494
3762.56568	0.98527
3760.51188	0.98536
3758.45808	0.98586
3756.40428	0.98648
3754.35047	0.9868
3752.29667	0.98699
3750.24287	0.98686
3748.18907	0.98577
3746.13527	0.98474
3744.08146	0.98524
3742.02766	0.9865
3739.97386	0.98737
3737.92006	0.98828
3735.86625	0.98877
3733.81245	0.98835
3731.75865	0.98756
3729.70485	0.98662
3727.65105	0.98641
3725.59724	0.98754
3723.54344	0.98868
3721.48964	0.9888
3719.43584	0.98793
3717.38203	0.98654
