Numero de onda	Muestra 191
3996.69914	0.97392
3994.64534	0.97393
3992.59153	0.97418
3990.53773	0.97449
3988.48393	0.97484
3986.43013	0.97502
3984.37632	0.97478
3982.32252	0.9745
3980.26872	0.9746
3978.21492	0.97495
3976.16112	0.97522
3974.10731	0.97518
3972.05351	0.97502
3969.99971	0.97489
3967.94591	0.9748
3965.8921	0.97468
3963.8383	0.97448
3961.7845	0.97454
3959.7307	0.97473
3957.6769	0.97461
3955.62309	0.97416
3953.56929	0.97398
3951.51549	0.97439
3949.46169	0.97497
3947.40788	0.97527
3945.35408	0.97518
3943.30028	0.9749
3941.24648	0.97472
3939.19268	0.97477
3937.13887	0.97488
3935.08507	0.97488
3933.03127	0.97483
3930.97747	0.97471
3928.92366	0.97447
3926.86986	0.97425
3924.81606	0.97433
3922.76226	0.9748
3920.70845	0.97515
3918.65465	0.97501
3916.60085	0.97492
3914.54705	0.97517
3912.49325	0.97527
3910.43944	0.97508
3908.38564	0.97494
3906.33184	0.97524
3904.27804	0.97577
3902.22423	0.9759
3900.17043	0.97543
3898.11663	0.97482
3896.06283	0.97469
3894.00903	0.97508
3891.95522	0.9752
3889.90142	0.97478
3887.84762	0.97494
3885.79382	0.97572
3883.74001	0.97613
3881.68621	0.97609
3879.63241	0.97565
3877.57861	0.97517
3875.52481	0.97516
3873.471	0.97535
3871.4172	0.9753
3869.3634	0.97483
3867.3096	0.97459
3865.25579	0.9749
3863.20199	0.97541
3861.14819	0.97581
3859.09439	0.97586
3857.04059	0.97564
3854.98678	0.97536
3852.93298	0.97518
3850.87918	0.97517
3848.82538	0.97517
3846.77157	0.97512
3844.71777	0.97519
3842.66397	0.97541
3840.61017	0.97569
3838.55637	0.97556
3836.50256	0.975
3834.44876	0.97486
3832.39496	0.97486
3830.34116	0.97452
3828.28735	0.97435
3826.23355	0.97464
3824.17975	0.97521
3822.12595	0.97581
3820.07215	0.97589
3818.01834	0.97576
3815.96454	0.97569
3813.91074	0.97545
3811.85694	0.9754
3809.80313	0.97573
3807.74933	0.97604
3805.69553	0.97582
3803.64173	0.9755
3801.58793	0.97539
3799.53412	0.9753
3797.48032	0.97525
3795.42652	0.97526
3793.37272	0.97548
3791.31891	0.97565
3789.26511	0.97557
3787.21131	0.97554
3785.15751	0.97549
3783.10371	0.97535
3781.0499	0.9756
3778.9961	0.97613
3776.9423	0.9763
3774.8885	0.97613
3772.83469	0.97605
3770.78089	0.97608
3768.72709	0.97584
3766.67329	0.97547
3764.61949	0.97534
3762.56568	0.97542
3760.51188	0.97543
3758.45808	0.97527
3756.40428	0.97544
3754.35047	0.97612
3752.29667	0.97667
3750.24287	0.97683
3748.18907	0.97692
3746.13527	0.97672
3744.08146	0.97624
3742.02766	0.976
3739.97386	0.97607
3737.92006	0.97616
3735.86625	0.97594
3733.81245	0.9754
3731.75865	0.97507
