Numero de onda	Muestra 679
3996.69914	0.95286
3994.64534	0.95341
3992.59153	0.95376
3990.53773	0.95333
3988.48393	0.953
3986.43013	0.95314
3984.37632	0.9531
3982.32252	0.953
3980.26872	0.95318
3978.21492	0.95323
3976.16112	0.953
3974.10731	0.95299
3972.05351	0.95318
3969.99971	0.95346
3967.94591	0.95399
3965.8921	0.95432
3963.8383	0.95405
3961.7845	0.95353
3959.7307	0.95326
3957.6769	0.95342
3955.62309	0.95376
3953.56929	0.95404
3951.51549	0.95411
3949.46169	0.95388
3947.40788	0.95353
3945.35408	0.95335
3943.30028	0.95312
3941.24648	0.95272
3939.19268	0.95309
3937.13887	0.95399
3935.08507	0.9541
3933.03127	0.95362
3930.97747	0.95363
3928.92366	0.95412
3926.86986	0.95447
3924.81606	0.95452
3922.76226	0.95462
3920.70845	0.95472
3918.65465	0.95451
3916.60085	0.95419
3914.54705	0.9542
3912.49325	0.95447
3910.43944	0.95482
3908.38564	0.95497
3906.33184	0.95451
3904.27804	0.95389
3902.22423	0.95414
3900.17043	0.95439
3898.11663	0.95415
3896.06283	0.95414
3894.00903	0.95414
3891.95522	0.95407
3889.90142	0.95466
3887.84762	0.95554
3885.79382	0.95577
3883.74001	0.95569
3881.68621	0.95573
3879.63241	0.95545
3877.57861	0.95501
3875.52481	0.95482
3873.471	0.95484
3871.4172	0.95491
3869.3634	0.95517
3867.3096	0.9555
3865.25579	0.95555
3863.20199	0.95538
3861.14819	0.95521
3859.09439	0.95503
3857.04059	0.95509
3854.98678	0.95544
3852.93298	0.95543
3850.87918	0.95556
3848.82538	0.95588
3846.77157	0.95593
3844.71777	0.95571
3842.66397	0.95522
3840.61017	0.95516
3838.55637	0.95578
3836.50256	0.95578
3834.44876	0.9555
3832.39496	0.95555
3830.34116	0.95575
3828.28735	0.95623
3826.23355	0.95644
3824.17975	0.9565
3822.12595	0.95689
3820.07215	0.95653
3818.01834	0.95603
3815.96454	0.95649
3813.91074	0.95677
3811.85694	0.95648
3809.80313	0.95619
3807.74933	0.95623
3805.69553	0.9566
3803.64173	0.95689
3801.58793	0.95699
3799.53412	0.95709
3797.48032	0.9572
3795.42652	0.95717
3793.37272	0.95687
3791.31891	0.95647
3789.26511	0.95651
3787.21131	0.95701
3785.15751	0.95701
3783.10371	0.95654
3781.0499	0.95675
3778.9961	0.9574
3776.9423	0.95747
3774.8885	0.95712
3772.83469	0.95698
3770.78089	0.9574
3768.72709	0.95776
3766.67329	0.95764
3764.61949	0.95766
3762.56568	0.95794
3760.51188	0.9583
3758.45808	0.95825
3756.40428	0.95785
3754.35047	0.95792
3752.29667	0.95834
3750.24287	0.95903
3748.18907	0.95998
3746.13527	0.96036
3744.08146	0.95964
3742.02766	0.95904
3739.97386	0.95876
3737.92006	0.95822
3735.86625	0.95811
3733.81245	0.95881
3731.75865	0.95942
3729.70485	0.95961
3727.65105	0.95941
3725.59724	0.95884
3723.54344	0.95867
3721.48964	0.95915
3719.43584	0.95922
3717.38203	0.95902
3715.32823	0.95906
3713.27443	0.95873
3711.22063	0.95723
3709.16683	0.95593
3707.11302	0.95562
3705.05922	0.95499
3703.00542	0.95366
3700.95162	0.95244
3698.89781	0.95174
3696.84401	0.95109
3694.79021	0.95079
3692.73641	0.95133
3690.68261	0.95258
3688.6288	0.95377
3686.575	0.95398
3684.5212	0.95379
3682.4674	0.95384
3680.41359	0.95411
3678.35979	0.95434
3676.30599	0.95419
3674.25219	0.95364
3672.19839	0.95345
3670.14458	0.95295
3668.09078	0.95152
3666.03698	0.95043
3663.98318	0.94954
3661.92937	0.94821
3659.87557	0.94718
3657.82177	0.94738
3655.76797	0.94779
3653.71417	0.94678
3651.66036	0.94501
3649.60656	0.94405
3647.55276	0.94442
3645.49896	0.94441
3643.44515	0.94355
3641.39135	0.94223
3639.33755	0.94077
3637.28375	0.93929
3635.22995	0.93788
3633.17614	0.93665
3631.12234	0.93605
3629.06854	0.93567
3627.01474	0.93438
3624.96093	0.93321
3622.90713	0.93283
3620.85333	0.93272
3618.79953	0.93223
3616.74573	0.93155
3614.69192	0.93103
3612.63812	0.93067
3610.58432	0.93072
3608.53052	0.93096
3606.47671	0.93077
3604.42291	0.93001
3602.36911	0.9288
3600.31531	0.92765
3598.26151	0.92718
3596.2077	0.92722
3594.1539	0.92724
3592.1001	0.92704
3590.0463	0.92646
3587.99249	0.92517
3585.93869	0.92401
3583.88489	0.92359
3581.83109	0.92322
3579.77728	0.92249
3577.72348	0.92177
3575.66968	0.92137
3573.61588	0.92067
3571.56208	0.91991
3569.50827	0.91978
3567.45447	0.91914
3565.40067	0.91729
3563.34687	0.91581
3561.29306	0.91487
3559.23926	0.91416
3557.18546	0.91383
3555.13166	0.91361
3553.07786	0.91294
3551.02405	0.91172
3548.97025	0.91068
3546.91645	0.91018
3544.86265	0.90965
3542.80884	0.90867
3540.75504	0.90752
3538.70124	0.90637
3536.64744	0.90543
3534.59364	0.90483
3532.53983	0.9043
3530.48603	0.9037
3528.43223	0.90313
3526.37843	0.9027
3524.32462	0.90212
3522.27082	0.90101
3520.21702	0.89979
3518.16322	0.8989
3516.10942	0.89854
3514.05561	0.89842
3512.00181	0.89795
3509.94801	0.89728
3507.89421	0.8965
3505.8404	0.8955
3503.7866	0.8943
3501.7328	0.89315
3499.679	0.89225
3497.6252	0.89143
3495.57139	0.8909
3493.51759	0.89068
3491.46379	0.88985
3489.40999	0.88839
3487.35618	0.88744
3485.30238	0.88746
3483.24858	0.88777
3481.19478	0.88747
3479.14098	0.88646
3477.08717	0.88526
3475.03337	0.8842
3472.97957	0.8833
3470.92577	0.88254
3468.87196	0.88222
3466.81816	0.88206
3464.76436	0.88133
3462.71056	0.87997
3460.65676	0.87877
3458.60295	0.87833
3456.54915	0.8779
3454.49535	0.87696
3452.44155	0.87593
3450.38774	0.87508
3448.33394	0.87458
3446.28014	0.87413
3444.22634	0.87316
3442.17254	0.87204
3440.11873	0.87139
3438.06493	0.87081
3436.01113	0.86987
3433.95733	0.86906
3431.90352	0.86869
3429.84972	0.86808
3427.79592	0.86704
3425.74212	0.86676
3423.68832	0.86697
3421.63451	0.86626
3419.58071	0.86484
3417.52691	0.86351
3415.47311	0.86232
3413.4193	0.8614
3411.3655	0.861
3409.3117	0.86082
3407.2579	0.86047
3405.2041	0.85998
3403.15029	0.85929
3401.09649	0.85852
3399.04269	0.85804
3396.98889	0.85801
3394.93508	0.85794
3392.88128	0.85719
3390.82748	0.85598
3388.77368	0.85547
3386.71988	0.85586
3384.66607	0.85609
3382.61227	0.85568
3380.55847	0.85504
3378.50467	0.85432
3376.45086	0.85357
3374.39706	0.85327
3372.34326	0.85337
3370.28946	0.85316
3368.23566	0.85264
3366.18185	0.8524
3364.12805	0.8523
3362.07425	0.85207
3360.02045	0.85191
3357.96664	0.85183
3355.91284	0.85151
3353.85904	0.85097
3351.80524	0.85055
3349.75144	0.85012
3347.69763	0.84977
3345.64383	0.84962
3343.59003	0.84953
3341.53623	0.84941
3339.48242	0.84906
3337.42862	0.84886
3335.37482	0.84931
3333.32102	0.85003
3331.26722	0.85033
3329.21341	0.85025
3327.15961	0.85007
3325.10581	0.84983
3323.05201	0.84986
3320.9982	0.85006
3318.9444	0.8501
3316.8906	0.85026
3314.8368	0.85036
3312.783	0.85016
3310.72919	0.84997
3308.67539	0.85014
3306.62159	0.85053
3304.56779	0.8506
3302.51398	0.85057
3300.46018	0.85058
3298.40638	0.85031
3296.35258	0.85014
3294.29878	0.85028
3292.24497	0.85062
3290.19117	0.85129
3288.13737	0.85181
3286.08357	0.8518
3284.02976	0.85176
3281.97596	0.85203
3279.92216	0.8524
3277.86836	0.85256
3275.81456	0.8527
3273.76075	0.85278
3271.70695	0.85263
3269.65315	0.8528
3267.59935	0.8534
3265.54554	0.85401
3263.49174	0.85447
3261.43794	0.85461
3259.38414	0.85448
3257.33034	0.85465
3255.27653	0.85527
3253.22273	0.85583
3251.16893	0.85609
3249.11513	0.85659
3247.06132	0.85758
3245.00752	0.85833
3242.95372	0.85854
3240.89992	0.85873
3238.84611	0.85911
3236.79231	0.85957
3234.73851	0.85989
3232.68471	0.8602
3230.63091	0.86054
3228.5771	0.8609
3226.5233	0.86144
3224.4695	0.86161
3222.4157	0.86159
3220.36189	0.86214
3218.30809	0.86273
3216.25429	0.86319
3214.20049	0.86376
3212.14669	0.86421
3210.09288	0.86478
3208.03908	0.86588
3205.98528	0.86694
3203.93148	0.86717
3201.87767	0.86673
3199.82387	0.86641
3197.77007	0.86681
3195.71627	0.86787
3193.66247	0.86902
3191.60866	0.86992
3189.55486	0.87068
3187.50106	0.87135
3185.44726	0.87207
3183.39345	0.87294
3181.33965	0.87364
3179.28585	0.87389
3177.23205	0.87395
3175.17825	0.8746
3173.12444	0.87572
3171.07064	0.87649
3169.01684	0.87695
3166.96304	0.87735
3164.90923	0.87787
3162.85543	0.87849
3160.80163	0.87904
3158.74783	0.87984
3156.69403	0.88092
3154.64022	0.88171
3152.58642	0.88218
3150.53262	0.8828
3148.47882	0.88334
3146.42501	0.88351
3144.37121	0.88399
3142.31741	0.88499
3140.26361	0.88583
3138.20981	0.88635
3136.156	0.88686
3134.1022	0.88731
3132.0484	0.88763
3129.9946	0.88796
3127.94079	0.88862
3125.88699	0.88982
3123.83319	0.89092
3121.77939	0.89142
3119.72559	0.8919
3117.67178	0.8926
3115.61798	0.89334
3113.56418	0.89385
3111.51038	0.89398
3109.45657	0.89416
3107.40277	0.89466
3105.34897	0.89524
3103.29517	0.89572
3101.24137	0.89619
3099.18756	0.89694
3097.13376	0.89744
3095.07996	0.89744
