Numero de onda	poliettilrn_succinato.dpt
3403.15029	0.97297
3401.09649	0.9738
3399.04269	0.97408
3396.98889	0.97357
3394.93508	0.97346
3392.88128	0.97419
3390.82748	0.97502
3388.77368	0.97563
3386.71988	0.97575
3384.66607	0.97551
3382.61227	0.97553
3380.55847	0.97605
3378.50467	0.97686
3376.45086	0.97744
3374.39706	0.97769
3372.34326	0.97773
3370.28946	0.97721
3368.23566	0.97659
3366.18185	0.97673
3364.12805	0.97755
3362.07425	0.97832
3360.02045	0.97833
3357.96664	0.97787
3355.91284	0.97798
3353.85904	0.97854
3351.80524	0.97877
3349.75144	0.97898
3347.69763	0.97933
3345.64383	0.97911
3343.59003	0.97863
3341.53623	0.9786
3339.48242	0.97898
3337.42862	0.97965
3335.37482	0.97994
3333.32102	0.97954
3331.26722	0.97958
3329.21341	0.98017
3327.15961	0.98038
3325.10581	0.98048
3323.05201	0.98083
3320.9982	0.98111
3318.9444	0.98084
3316.8906	0.9801
3314.8368	0.97989
3312.783	0.98029
3310.72919	0.98045
3308.67539	0.98047
3306.62159	0.98056
3304.56779	0.9806
3302.51398	0.98092
3300.46018	0.98144
3298.40638	0.98173
3296.35258	0.9819
3294.29878	0.98195
3292.24497	0.9817
3290.19117	0.98129
3288.13737	0.98112
3286.08357	0.98156
3284.02976	0.98255
3281.97596	0.98304
3279.92216	0.9826
3277.86836	0.98203
3275.81456	0.98156
3273.76075	0.98135
3271.70695	0.98182
3269.65315	0.98236
3267.59935	0.98243
3265.54554	0.98236
3263.49174	0.98246
3261.43794	0.98279
3259.38414	0.98335
3257.33034	0.98369
3255.27653	0.98333
3253.22273	0.98283
3251.16893	0.98274
3249.11513	0.98272
3247.06132	0.98272
3245.00752	0.98314
3242.95372	0.98393
3240.89992	0.98421
3238.84611	0.9834
3236.79231	0.98247
3234.73851	0.9826
3232.68471	0.98325
3230.63091	0.98375
3228.5771	0.98412
3226.5233	0.98406
3224.4695	0.98395
3222.4157	0.98393
3220.36189	0.98344
3218.30809	0.9828
3216.25429	0.98279
3214.20049	0.98359
3212.14669	0.9844
3210.09288	0.9845
3208.03908	0.98417
3205.98528	0.98416
3203.93148	0.98444
3201.87767	0.9844
3199.82387	0.98423
3197.77007	0.98383
3195.71627	0.98324
3193.66247	0.98323
3191.60866	0.98377
3189.55486	0.98439
3187.50106	0.98487
3185.44726	0.98497
3183.39345	0.98485
3181.33965	0.98472
3179.28585	0.98453
3177.23205	0.98469
3175.17825	0.98531
3173.12444	0.98546
3171.07064	0.98469
3169.01684	0.98395
3166.96304	0.98375
3164.90923	0.98391
3162.85543	0.98446
3160.80163	0.98512
3158.74783	0.98528
3156.69403	0.98457
3154.64022	0.98351
3152.58642	0.98313
3150.53262	0.98388
3148.47882	0.98503
3146.42501	0.98547
3144.37121	0.98489
3142.31741	0.98393
3140.26361	0.98353
3138.20981	0.984
3136.156	0.98478
3134.1022	0.98533
3132.0484	0.98549
3129.9946	0.98499
3127.94079	0.98417
3125.88699	0.98386
3123.83319	0.98447
3121.77939	0.98555
3119.72559	0.98577
3117.67178	0.98503
3115.61798	0.98427
3113.56418	0.98374
3111.51038	0.98335
3109.45657	0.9832
3107.40277	0.98335
3105.34897	0.98351
3103.29517	0.98332
3101.24137	0.98289
3099.18756	0.98288
3097.13376	0.98338
3095.07996	0.98345
3093.02616	0.98302
3090.97235	0.98294
3088.91855	0.98327
3086.86475	0.98341
3084.81095	0.98334
3082.75715	0.98322
3080.70334	0.98273
3078.64954	0.98221
3076.59574	0.98215
3074.54194	0.98225
3072.48813	0.98217
3070.43433	0.9821
3068.38053	0.98235
3066.32673	0.98247
3064.27293	0.98195
3062.21912	0.9815
3060.16532	0.98171
3058.11152	0.98222
3056.05772	0.98246
3054.00391	0.98217
3051.95011	0.98166
3049.89631	0.98126
3047.84251	0.98086
3045.78871	0.98048
3043.7349	0.98017
3041.6811	0.97991
3039.6273	0.98003
3037.5735	0.98031
3035.51969	0.97999
3033.46589	0.97906
3031.41209	0.97803
3029.35829	0.97705
3027.30449	0.97629
3025.25068	0.97575
3023.19688	0.97453
3021.14308	0.97219
3019.08928	0.96964
3017.03547	0.9673
3014.98167	0.96498
3012.92787	0.96271
3010.87407	0.96054
3008.82027	0.95866
3006.76646	0.95725
3004.71266	0.95586
3002.65886	0.9543
3000.60506	0.95346
2998.55125	0.95373
2996.49745	0.95412
2994.44365	0.95377
2992.38985	0.95277
2990.33605	0.95181
2988.28224	0.95135
2986.22844	0.95102
2984.17464	0.95018
2982.12084	0.94841
2980.06703	0.94558
2978.01323	0.94207
2975.95943	0.93821
2973.90563	0.93463
2971.85183	0.93194
2969.79802	0.92983
2967.74422	0.92784
2965.69042	0.92627
2963.63662	0.9256
2961.58281	0.92609
2959.52901	0.92781
2957.47521	0.93015
2955.42141	0.93217
2953.36761	0.93344
2951.3138	0.9342
2949.26	0.935
2947.2062	0.93571
2945.1524	0.93601
2943.09859	0.9365
2941.04479	0.93754
2938.99099	0.93871
2936.93719	0.9401
2934.88339	0.94203
2932.82958	0.94463
2930.77578	0.94762
2928.72198	0.95009
2926.66818	0.95189
2924.61437	0.95382
2922.56057	0.95641
2920.50677	0.9594
2918.45297	0.96196
